,Number of rooms,Area (in m2),Floor,Address,Price in USD,Price in KGS
6,2,62,3,"Бишкек, Ден Сяопина - Фучика, Фучика 38/2/Рыскулова",48500,3964026
7,2,76,3,"Бишкек, Баха, Джал-15",67700,5533290
8,2,75,5,"Бишкек, Азия Молл, Ч. Айтматова (пр. Мира) 36",74000,6048205
9,3,62,2,"Бишкек, Бишкек-Парк",60000,4903950
0,1,51.6,12,"Бишкек, Джал-29 м-н, Джал-29, ул. Баха 258Б",38700,3163048
1,2,58.8,2,"Бишкек, Джал-29 м-н, Джал-29, ул. Баха 258Б",44100,3604403
2,3,125,8,"Бишкек, Филармония, Турусбекова/Рыскулова",135000,11033888
3,3,105,7,"Бишкек, Асанбай м-н, Куттубаева/Южн. Магистраль",85000,6947263
4,1,30,1,"Бишкек, Ошский рынок,  ул. Сыдыкова 207/Молодая Гвардия",30000,2451975
5,1,44,3,"Бишкек, Улан-2 м-н",40000,3269300
6,2,80,6,"Бишкек, Магистраль, пр. Ч. Айтматова",73000,5966473
7,1,41,14,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",25500,2084179
8,2,70,9,"с. Кок-Джар, Алма-Aтинская/Токомбаева",48500,3964026
9,3,92,5,"Бишкек, КНУ, Абдымомунова/Уметалиева",107000,8745378
0,2,72,13,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",81500,6661199
1,1,41,8,"Бишкек, 12 м-н, 12 мкр., ул А. Токомбаева",33500,2738039
2,2,57,10,"Бишкек, Горького",34000,2778905
3,1,48,1,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",41500,3391899
4,1,35,4,"Бишкек, Тунгуч м-н",35000,2860638
5,3,85,9,"Бишкек, 7 м-н, Сухэ-Батора/К. Маркса",87500,7151594
6,2,44,3,"Бишкек, 7 м-н",42000,3432765
7,3,75,6,"Бишкек, Магистраль, Масалиева",64000,5230880
8,2,84,10,"Бишкек, Сквер Тоголок Молдо, Логвиненко 12",74000,6048205
9,2,57,9,"Бишкек, Исакеева/Виноградная",40500,3310166
0,3,125,3,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",100000,8173250
1,2,70,9,"с. Кок-Джар, Алма-Aтинская/Токомбаева",60500,4944816
2,1,58,3,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",56000,4577020
3,2,69,6,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",60000,4903950
4,4,136,7,"Бишкек, Академия Наук, Уметалиева 113/Рыскулова 34",165000,13485863
5,3,104,6,"Бишкек, Ак Кеме, Минжилкиева 117",145000,11851213
6,2,70,10,"Бишкек, Ак Кеме, Минжилкиева 117",80250,6559033
7,4,104,12,"Бишкек, Политех, Ажыбек-Баатыра 10в",120000,9807900
8,1,48,1,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",41500,3391899
9,1,43,10,"Бишкек, КНУ, К. Акиева/Жумабека",38500,3146701
0,1,59,3,"Бишкек, Магистраль",40120,3279108
1,2,86,3,"Бишкек, Магистраль, пр. Ч. Айтматова",75600,6178977
2,1,43,6,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",42000,3432765
3,2,85.51,5,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",70000,5721275
4,2,75,1,"Бишкек, АЮ Grand,  ул. Исакеева 18/1",57000,4658753
5,1,35,3,"Бишкек, Кудайберген",27000,2206778
6,2,72,7,"Бишкек, АУЦА, 12-мкр. по ул. Токомбаева",60000,4903950
7,1,48.3,11,"Бишкек, Магистраль, Токомбаева/Сухэ Батора",42500,3473631
8,2,67,4,"с. Кок-Джар, Алма-Атинская/Южная магистраль",55500,4536154
9,1,51,7,"Бишкек, VEFA, Кулатова/Элебаева",43500,3555364
0,3,112,3,"Бишкек, Ахунбаева (Бот. Сад)",86000,7028995
